folder,material,alkaline_earth,boron_family,halogen,qtd_atoms,volume,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,space_group,etotal,Hf,Hf_per_atom,PDEntry,bandgap,direct,transition,e_above_hull
MgGa7,Mg11Ga7,Mg,Ga,,22.0,754.8674979710938,10.220259149864956,10.220259149864956,10.220259149864956,60.00000000000001,60.00000000000001,60.00000000000001,225,-76.81770389,-24.06133774800001,-0.6683704930000004,PDEntry : Mg22 Ga14 (MgGa7) with energy = -76.8177,0.0,False,,0.0623018266666663
MgGaBr3,MgGaBr3,Mg,Ga,Br,6.0,343.6783523133052,7.813506142468939,7.78315199292333,6.556869487897053,90.0,90.0,120.47001931219911,63,-29.44209884,-13.158842573,-1.3158842573,PDEntry : Br6 Mg2 Ga2 with energy = -29.4421,3.5771,False,"(0.500,0.500,0.000)-(0.000,0.000,0.000)",0.0
MgGaBr5,MgGaBr5,Mg,Ga,Br,2.0,693.9414189326244,10.352339723035946,10.352339723035946,7.94058196870129,99.36601612648197,99.36601612648197,56.06442307490045,9,-40.88529334,-18.032122203,-1.288008728785714,PDEntry : Mg2 Br10 Ga2 with energy = -40.8853,3.4869,False,"(-0.333,-0.000,0.333)-(0.000,0.000,0.000)",0.0
MgGaBr5_C2c,MgGaBr5,Mg,Ga,Br,2.0,502.2849118579167,8.57090312359541,8.570902377135495,10.826853587347994,67.63738850073665,67.6373984108764,43.82313973162658,15,-39.10351142,-16.250340283,-1.1607385916428572,PDEntry : Mg2 Ga2 Br10 (MgGaBr5_C2c) with energy = -39.1035,2.0857,False,"(0.500,-0.000,-0.000)-(0.000,0.000,0.000)",0.1272701371428568
MgGaBr5_Immm,MgGaBr5,Mg,Ga,Br,2.0,525.0031483034082,4.699764855179958,12.13913692159916,9.20233350148352,90.0,90.0,90.00000000000001,71,-30.00073438,-7.147563243000004,-0.5105402316428574,PDEntry : Mg2 Ga2 Br10 (MgGaBr5_Immm) with energy = -30.0007,0.0,False,,0.7774684971428565
MgGaBr5_P12_11,MgGaBr5,Mg,Ga,Br,4.0,1158.061041860401,9.682892260466344,11.504891877383873,10.515883608215946,90.0,81.32076197537796,90.0,4,-75.48147002,-29.77512774600001,-1.0633974195000004,PDEntry : Mg4 Ga4 Br20 (MgGaBr5_P12_11) with energy = -75.4815,1.5339,False,"(0.000,0.000,0.000)-(0.333,0.000,0.000)",0.2246113092857138
MgGaBr5_P21c,MgGaBr5,Mg,Ga,Br,4.0,1124.734653367951,13.031324209591702,7.7317377866760895,14.24100432855735,51.61624542909848,90.0,90.0,14,-81.55391705,-35.847574776,-1.2802705277142858,PDEntry : Mg4 Ga4 Br20 (MgGaBr5_P21c) with energy = -81.5539,3.4154,False,"(0.500,0.000,0.500)-(0.000,0.000,0.000)",0.0077382010714281
MgGaBr5_P2_12_121_BaAlF5,MgGaBr5,Mg,Ga,Br,4.0,1149.3858983486457,6.59293192102586,10.689575639781085,16.308980317845478,90.0,90.0,90.00000000000001,19,-78.60031512,-32.89397284600001,-1.1747847445000004,PDEntry : Mg4 Ga4 Br20 (MgGaBr5_P2_12_121_BaAlF5) with energy = -78.6003,1.8997,False,"(0.250,0.000,0.000)-(0.000,0.000,0.000)",0.1132239842857139
MgGaBr5_P2_12_121_BaGaF5,MgGaBr5,Mg,Ga,Br,4.0,1038.64179031998,7.300032059262997,6.618421301626489,21.49743359870489,90.0,90.0,90.00000000000001,19,-81.04086992,-35.33452764600001,-1.261947415928572,PDEntry : Mg4 Ga4 Br20 (MgGaBr5_P2_12_121_BaGaF5) with energy = -81.0409,3.2647000000000004,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0260613128571423
MgGaCl3,MgGaCl3,Mg,Ga,Cl,12.0,514.9404385375568,9.306622290108493,3.7439114283744286,14.778805889741216,90.0,89.99671292635028,90.0,62,-67.68161314,-34.66209529599999,-1.7331047647999995,PDEntry : Cl12 Ga4 Mg4 with energy = -67.6816,3.1990000000000003,False,"(0.000,0.000,0.000)-(0.000,0.429,0.000)",0.0287244351250008
